Profile_scaled_periphery_data,Prh_Sc_O_SADR010324.jpg,Prh_Sc_O_SADR010493.jpg,Prh_Sc_O_SADR010555.jpg,Prh_Sc_O_SADR010557.jpg,Prh_Sc_O_SADR010560.jpg,Prh_Sc_O_SADR010568.jpg,Prh_Sc_O_SADR010571.jpg,Prh_Sc_O_SADR010595.jpg,Prh_Sc_O_SADR010597.jpg,Prh_Sc_O_SADR010600.jpg,Prh_Sc_O_SADR010606.jpg,Prh_Sc_O_SADR010608.jpg,Prh_Sc_O_SADR010688.jpg,Prh_Sc_O_SADR010771.jpg,Prh_Sc_O_SADR010891.jpg,Prh_Sc_O_SADR010901.jpg,Prh_Sc_O_SADR010903.jpg,Prh_Sc_O_SADR010907.jpg,Prh_Sc_O_SADR010911.jpg,Prh_Sc_O_SADR010985.jpg,Prh_Sc_O_SADR010987.jpg,Prh_Sc_O_SADR010988.jpg,Prh_Sc_O_SADR010990.jpg,Prh_Sc_O_SADR010991.jpg,Prh_Sc_O_SADR010993.jpg,Prh_Sc_O_SADR011004.jpg,Prh_Sc_O_SADR011075.jpg,Prh_Sc_O_SADR011076.jpg,Prh_Sc_O_SADR011077.jpg,Prh_Sc_O_SADR011090.jpg,Prh_Sc_O_SADR011104.jpg,Prh_Sc_O_SADR011135.jpg,Prh_Sc_O_SADR011296.jpg,Prh_Sc_O_SADR011508.jpg,Prh_Sc_O_SADR011815.jpg,Prh_Sc_O_SADR011829.jpg,Prh_Sc_O_SADR011830.jpg,Prh_Sc_O_SADR011831.jpg,Prh_Sc_O_SADR011834.jpg,Prh_Sc_O_SADR011835.jpg,Prh_Sc_O_SADR020634.jpg,Prh_Sc_O_SADR020702.jpg,Prh_Sc_O_SADR020704.jpg,Prh_Sc_O_SADR020738.jpg,Prh_Sc_O_SADR020749.jpg,Prh_Sc_O_SADR020865.jpg,Prh_Sc_O_SADR020881.jpg,Prh_Sc_O_SADR020923.jpg,Prh_Sc_O_SADR020945.jpg,Prh_Sc_O_SADR020952.jpg,Prh_Sc_O_SADR020953.jpg,Prh_Sc_O_SADR020954.jpg,Prh_Sc_O_SADR020963.jpg,Prh_Sc_O_SADR020966.jpg,Prh_Sc_O_SADR020971.jpg,Prh_Sc_O_SADR020974.jpg,Prh_Sc_O_SADR020976.jpg,Prh_Sc_O_SADR020994.jpg,Prh_Sc_O_SADR021073.jpg,Prh_Sc_O_SADR021088.jpg,Prh_Sc_O_SADR021090.jpg,Prh_Sc_O_SADR021098.jpg,Prh_Sc_O_SADR021137.jpg,Prh_Sc_O_SADR021195.jpg,Prh_Sc_O_SADR021208.jpg,Prh_Sc_O_SADR021282.jpg,Prh_Sc_O_SADR021398.jpg,Prh_Sc_O_SADR021423.jpg,Prh_Sc_O_SADR021441.jpg,Prh_Sc_O_SADR021525.jpg,Prh_Sc_O_SADR021628.jpg,Prh_Sc_O_SADR021655.jpg,Prh_Sc_O_SADR021656.jpg,Prh_Sc_O_SADR021658.jpg,Prh_Sc_O_SADR021663.jpg,Prh_Sc_O_SADR021664.jpg,Prh_Sc_O_SADR021666.jpg,Prh_Sc_O_SADR021670.jpg,Prh_Sc_O_SADR021680.jpg,Prh_Sc_O_SADR021802.jpg,Prh_Sc_O_SADR021834.jpg,Prh_Sc_O_SADR021843.jpg,Prh_Sc_O_SADR021848.jpg
43,-28,-48,-34,-20,-39,-47,-40,-16,-39,-44,-31,-43,-23,-35,-40,-30,-19,-43,-31,-42,-32,-26,-38,-40,-29,-25,-33,-30,-25,-30,-44,-34,-30,-39,-17,-26,-32,-25,-31,-36,-29,-29,-31,-25,-29,-25,-31,-35,-35,-28,-38,-39,-32,-36,-32,-35,-32,-26,-28,-27,-29,-29,-22,-24,-9,-25,-37,-25,-22,-38,-27,-33,-19,-23,-21,-23,-17,-27,-23,-10,-13,-27,-6
44,-28,-48,-34,-20,-39,-46,-39,-15,-39,-43,-31,-43,-23,-35,-40,-30,-19,-43,-31,-42,-32,-26,-38,-39,-29,-25,-33,-30,-25,-30,-44,-33,-30,-39,-17,-26,-32,-24,-31,-36,-29,-29,-31,-25,-29,-25,-31,-33,-34,-28,-37,-38,-32,-35,-32,-35,-32,-26,-28,-26,-29,-26,-22,-24,-9,-25,-37,-25,-22,-37,-27,-33,-19,-23,-21,-23,-17,-26,-23,-10,-13,-27,-6
45,-27,-46,-32,-20,-39,-46,-39,-14,-39,-41,-31,-43,-23,-35,-40,-30,-19,-43,-31,-41,-32,-25,-38,-39,-28,-25,-33,-30,-25,-30,-44,-33,-30,-39,-17,-26,-32,-24,-31,-36,-29,-29,-30,-25,-28,-25,-31,-33,-34,-28,-36,-38,-32,-34,-32,-34,-32,-26,-28,-26,-29,-25,-22,-24,-9,-25,-37,-25,-22,-36,-27,-33,-19,-23,-21,-23,-17,-25,-23,-10,-13,-27,-6
46,-26,-45,-31,-20,-39,-46,-39,-14,-39,-40,-31,-42,-23,-35,-40,-30,-19,-43,-31,-40,-32,-24,-36,-39,-27,-23,-32,-30,-25,-30,-44,-33,-30,-39,-17,-26,-32,-24,-31,-36,-29,-28,-29,-25,-27,-25,-31,-32,-34,-26,-35,-37,-31,-34,-32,-32,-32,-24,-28,-26,-29,-25,-22,-24,-9,-25,-37,-25,-22,-35,-27,-32,-19,-23,-21,-23,-17,-25,-23,-10,-13,-27,-6
47,-26,-44,-31,-20,-39,-46,-39,-14,-39,-40,-31,-41,-23,-35,-39,-30,-19,-43,-31,-39,-30,-24,-35,-39,-27,-23,-30,-30,-25,-30,-43,-32,-30,-39,-17,-26,-32,-24,-31,-36,-29,-27,-28,-24,-26,-25,-31,-31,-34,-25,-35,-35,-30,-34,-32,-32,-32,-23,-28,-26,-29,-25,-22,-24,-10,-25,-35,-25,-22,-34,-27,-31,-19,-23,-21,-23,-17,-25,-23,-10,-13,-27,-6
48,-26,-44,-31,-20,-37,-46,-38,-14,-39,-40,-31,-39,-23,-35,-38,-28,-19,-43,-31,-39,-30,-24,-34,-39,-27,-21,-29,-30,-25,-29,-41,-31,-30,-39,-17,-26,-32,-24,-31,-36,-29,-26,-28,-23,-26,-25,-31,-30,-34,-25,-35,-34,-29,-34,-32,-32,-31,-23,-28,-26,-29,-25,-22,-24,-12,-25,-34,-25,-22,-33,-25,-31,-19,-23,-21,-21,-17,-25,-23,-10,-13,-27,-6
49,-25,-44,-31,-20,-37,-45,-37,-14,-39,-40,-31,-38,-23,-35,-37,-27,-18,-40,-31,-39,-30,-24,-34,-38,-27,-21,-29,-26,-25,-28,-41,-31,-30,-39,-17,-26,-29,-24,-31,-34,-29,-26,-28,-22,-26,-25,-31,-30,-34,-25,-34,-34,-28,-32,-32,-32,-30,-23,-28,-26,-29,-25,-22,-22,-12,-25,-34,-25,-22,-32,-25,-31,-19,-23,-21,-21,-17,-25,-23,-10,-13,-25,-6
50,-25,-44,-31,-20,-37,-44,-36,-14,-39,-40,-29,-38,-23,-35,-36,-27,-18,-39,-31,-39,-30,-24,-34,-37,-26,-21,-29,-25,-25,-28,-41,-31,-30,-39,-17,-26,-28,-24,-29,-34,-29,-26,-28,-22,-26,-25,-31,-30,-32,-25,-33,-34,-28,-32,-31,-32,-29,-23,-28,-26,-29,-25,-22,-21,-12,-25,-33,-24,-21,-32,-25,-30,-19,-23,-21,-21,-16,-25,-22,-10,-13,-24,-6
51,-25,-44,-31,-20,-37,-43,-35,-14,-36,-40,-28,-37,-23,-35,-35,-27,-18,-39,-31,-38,-29,-24,-34,-35,-25,-21,-29,-24,-25,-28,-41,-30,-30,-38,-17,-26,-28,-24,-28,-34,-29,-26,-27,-22,-26,-25,-31,-29,-31,-25,-32,-34,-28,-30,-30,-31,-29,-23,-28,-26,-29,-25,-22,-21,-12,-25,-31,-23,-20,-32,-25,-29,-19,-23,-21,-21,-15,-23,-21,-10,-13,-24,-6
52,-25,-44,-31,-20,-37,-42,-34,-13,-35,-39,-27,-36,-23,-35,-34,-27,-18,-39,-31,-37,-28,-24,-34,-35,-25,-21,-29,-24,-24,-28,-41,-29,-30,-37,-17,-26,-28,-24,-28,-34,-27,-26,-25,-21,-26,-25,-31,-28,-30,-24,-31,-34,-28,-30,-29,-30,-29,-23,-28,-26,-26,-25,-22,-21,-12,-25,-30,-22,-20,-32,-24,-28,-19,-23,-21,-21,-15,-23,-21,-10,-13,-24,-6
53,-24,-43,-30,-20,-37,-42,-30,-12,-34,-37,-27,-34,-23,-33,-33,-27,-18,-39,-30,-36,-27,-24,-34,-34,-24,-21,-29,-24,-22,-27,-40,-29,-29,-36,-17,-26,-28,-24,-28,-33,-26,-26,-25,-20,-26,-25,-31,-27,-29,-22,-30,-33,-28,-30,-28,-29,-29,-23,-28,-26,-25,-25,-22,-21,-12,-25,-30,-22,-20,-30,-23,-27,-19,-22,-21,-21,-15,-22,-21,-10,-12,-24,-6
54,-24,-42,-29,-20,-37,-42,-29,-12,-34,-36,-27,-33,-23,-32,-32,-27,-18,-39,-28,-36,-26,-24,-32,-32,-24,-21,-28,-24,-21,-26,-39,-29,-28,-35,-17,-26,-28,-23,-28,-32,-25,-26,-25,-20,-25,-25,-29,-26,-29,-22,-29,-32,-28,-30,-27,-28,-28,-23,-28,-26,-25,-25,-22,-21,-12,-25,-30,-22,-20,-30,-22,-27,-19,-21,-21,-21,-15,-22,-21,-10,-11,-24,-6
55,-24,-40,-28,-20,-37,-42,-28,-12,-33,-36,-27,-33,-22,-31,-31,-26,-18,-38,-27,-36,-25,-24,-31,-32,-24,-20,-27,-24,-20,-26,-38,-28,-27,-35,-17,-26,-28,-22,-28,-31,-25,-25,-25,-20,-24,-25,-28,-25,-27,-22,-28,-31,-27,-28,-26,-27,-28,-23,-28,-26,-25,-24,-22,-21,-12,-25,-30,-22,-20,-28,-22,-27,-19,-21,-21,-20,-15,-22,-21,-10,-11,-24,-7
56,-23,-40,-27,-20,-37,-42,-27,-12,-31,-35,-27,-32,-21,-30,-30,-25,-18,-37,-26,-36,-25,-23,-30,-31,-23,-20,-26,-24,-19,-26,-37,-27,-26,-35,-17,-26,-27,-22,-28,-31,-25,-24,-25,-19,-23,-25,-27,-25,-26,-22,-27,-30,-25,-28,-26,-26,-26,-23,-28,-26,-25,-22,-22,-21,-12,-22,-29,-22,-20,-27,-22,-26,-17,-21,-21,-19,-15,-22,-21,-10,-11,-24,-8
57,-23,-39,-26,-20,-36,-40,-26,-12,-30,-33,-26,-31,-19,-29,-29,-25,-18,-36,-25,-35,-25,-21,-30,-30,-22,-21,-25,-24,-19,-26,-36,-26,-26,-34,-17,-26,-25,-22,-28,-31,-25,-23,-23,-18,-23,-25,-26,-25,-26,-22,-26,-29,-24,-26,-26,-25,-25,-23,-28,-26,-25,-21,-22,-21,-12,-21,-28,-22,-20,-26,-22,-25,-17,-21,-21,-19,-15,-22,-21,-10,-11,-24,-8
58,-22,-38,-25,-20,-35,-39,-26,-12,-29,-32,-24,-29,-18,-28,-28,-25,-18,-35,-25,-34,-24,-21,-29,-28,-22,-21,-24,-24,-19,-26,-35,-25,-26,-33,-17,-26,-24,-22,-27,-31,-25,-23,-22,-17,-23,-25,-25,-25,-26,-21,-26,-28,-24,-26,-26,-24,-25,-23,-27,-25,-25,-21,-22,-19,-12,-21,-27,-22,-20,-25,-20,-24,-17,-21,-20,-19,-15,-21,-20,-10,-11,-22,-8
59,-22,-36,-25,-20,-35,-39,-26,-12,-29,-32,-24,-28,-18,-27,-27,-25,-18,-34,-23,-33,-23,-21,-27,-28,-22,-21,-24,-23,-19,-25,-34,-24,-26,-32,-17,-23,-24,-22,-26,-30,-24,-23,-22,-16,-23,-25,-24,-24,-26,-20,-26,-27,-23,-24,-25,-23,-23,-22,-26,-24,-24,-21,-22,-18,-12,-21,-26,-21,-20,-25,-20,-23,-17,-20,-19,-19,-15,-20,-19,-10,-11,-21,-8
60,-22,-35,-25,-20,-35,-38,-25,-12,-28,-31,-24,-28,-18,-26,-26,-23,-17,-33,-22,-32,-23,-21,-26,-27,-22,-21,-24,-22,-19,-24,-33,-23,-26,-31,-17,-22,-23,-22,-25,-29,-22,-23,-20,-16,-22,-20,-23,-23,-25,-19,-25,-26,-21,-24,-24,-22,-22,-21,-25,-23,-22,-21,-22,-18,-12,-21,-25,-20,-19,-23,-20,-23,-17,-19,-19,-19,-15,-20,-19,-10,-11,-21,-8
61,-22,-35,-25,-20,-34,-36,-24,-12,-26,-25,-24,-27,-18,-25,-25,-23,-16,-32,-21,-31,-23,-21,-26,-25,-21,-21,-24,-20,-19,-24,-32,-23,-26,-30,-17,-21,-21,-21,-24,-28,-22,-22,-19,-16,-21,-19,-22,-22,-24,-18,-24,-25,-20,-22,-23,-21,-22,-21,-24,-22,-21,-21,-22,-18,-12,-21,-24,-19,-17,-23,-20,-23,-17,-19,-19,-17,-14,-20,-19,-10,-11,-21,-8
62,-20,-34,-24,-20,-34,-35,-23,-12,-25,-24,-24,-26,-18,-24,-24,-23,-16,-31,-20,-30,-22,-21,-25,-25,-21,-20,-24,-19,-19,-24,-31,-23,-25,-29,-17,-21,-20,-20,-23,-27,-21,-21,-19,-16,-20,-19,-22,-21,-23,-17,-23,-24,-20,-22,-22,-20,-21,-21,-23,-21,-21,-21,-22,-18,-12,-21,-23,-19,-17,-21,-19,-22,-17,-19,-19,-17,-14,-20,-19,-10,-11,-21,-8
63,-20,-28,-23,-20,-33,-35,-22,-11,-24,-24,-23,-19,-18,-23,-23,-23,-16,-26,-19,-29,-21,-21,-23,-24,-21,-19,-24,-18,-18,-23,-30,-22,-23,-28,-17,-21,-20,-20,-22,-26,-19,-20,-19,-16,-20,-19,-22,-20,-22,-16,-22,-23,-19,-20,-21,-19,-19,-21,-22,-20,-20,-20,-19,-18,-12,-19,-22,-19,-17,-21,-18,-21,-17,-19,-19,-17,-14,-18,-19,-10,-11,-21,-8
64,-20,-27,-22,-20,-32,-30,-21,-11,-24,-23,-22,-18,-18,-22,-22,-22,-16,-25,-19,-28,-21,-20,-22,-23,-20,-19,-23,-18,-17,-22,-29,-21,-22,-27,-17,-21,-19,-20,-21,-22,-18,-19,-19,-16,-20,-19,-21,-19,-21,-15,-21,-22,-17,-20,-20,-18,-19,-19,-21,-19,-18,-18,-19,-18,-12,-18,-21,-19,-17,-19,-17,-20,-16,-18,-19,-16,-14,-18,-18,-10,-11,-19,-8
65,-19,-26,-21,-20,-32,-29,-20,-11,-23,-17,-21,-17,-18,-17,-21,-21,-16,-25,-17,-27,-21,-19,-22,-21,-19,-19,-21,-17,-16,-21,-28,-20,-21,-26,-17,-21,-17,-19,-17,-21,-18,-18,-19,-16,-19,-19,-20,-18,-20,-15,-20,-21,-16,-20,-19,-18,-19,-18,-20,-18,-17,-17,-19,-18,-12,-18,-20,-18,-16,-18,-16,-19,-15,-18,-18,-16,-14,-18,-17,-10,-11,-18,-8
66,-19,-26,-20,-20,-30,-28,-19,-11,-16,-16,-20,-17,-18,-16,-20,-20,-16,-24,-16,-26,-21,-18,-21,-21,-18,-19,-20,-16,-14,-20,-27,-19,-21,-25,-17,-21,-16,-18,-16,-20,-18,-17,-17,-15,-18,-19,-19,-17,-19,-15,-19,-16,-16,-20,-19,-18,-19,-18,-19,-17,-17,-17,-19,-18,-12,-18,-19,-17,-15,-17,-15,-18,-15,-18,-18,-16,-14,-18,-17,-10,-10,-18,-8
67,-18,-24,-19,-19,-30,-27,-18,-11,-15,-16,-19,-17,-18,-16,-19,-19,-15,-15,-15,-25,-19,-18,-19,-20,-18,-19,-20,-14,-14,-20,-23,-18,-20,-24,-17,-20,-16,-17,-16,-16,-18,-16,-16,-14,-17,-18,-18,-16,-18,-15,-18,-15,-16,-19,-18,-17,-18,-16,-18,-16,-16,-16,-18,-17,-12,-18,-18,-16,-15,-16,-15,-17,-15,-17,-18,-15,-14,-17,-17,-10,-9,-17,-8
68,-17,-23,-18,-18,-28,-22,-17,-11,-14,-16,-18,-17,-17,-16,-18,-18,-15,-14,-14,-24,-18,-18,-18,-18,-18,-18,-19,-13,-13,-20,-21,-17,-18,-23,-14,-14,-16,-16,-16,-16,-17,-15,-15,-14,-16,-17,-17,-15,-17,-14,-17,-15,-16,-18,-17,-16,-17,-15,-17,-16,-14,-14,-17,-15,-12,-17,-17,-15,-15,-16,-15,-16,-15,-16,-17,-14,-13,-16,-16,-10,-9,-15,-8
69,-17,-22,-17,-18,-27,-21,-16,-11,-14,-16,-17,-16,-16,-15,-18,-18,-15,-14,-14,-20,-17,-18,-18,-18,-16,-17,-18,-12,-12,-18,-21,-16,-17,-22,-14,-12,-16,-15,-16,-16,-16,-14,-14,-14,-15,-16,-16,-14,-16,-13,-16,-15,-15,-17,-16,-15,-16,-15,-16,-16,-13,-13,-16,-15,-12,-16,-16,-14,-15,-14,-15,-15,-15,-16,-16,-14,-12,-15,-15,-10,-9,-15,-8
70,-16,-21,-13,-18,-25,-21,-15,-10,-14,-15,-16,-15,-15,-14,-12,-18,-15,-14,-14,-19,-16,-17,-17,-17,-16,-17,-16,-12,-11,-17,-20,-15,-17,-21,-14,-12,-15,-14,-15,-15,-15,-13,-14,-14,-14,-15,-15,-13,-15,-12,-15,-15,-14,-16,-15,-14,-15,-15,-15,-15,-13,-13,-15,-14,-12,-15,-15,-13,-14,-14,-14,-14,-14,-16,-15,-14,-12,-14,-14,-10,-9,-14,-8
71,-16,-21,-12,-17,-22,-19,-14,-9,-14,-14,-15,-14,-14,-13,-10,-17,-13,-14,-14,-18,-15,-16,-11,-16,-14,-16,-15,-12,-10,-17,-12,-14,-16,-20,-14,-12,-14,-13,-14,-14,-14,-12,-14,-12,-13,-14,-14,-12,-14,-12,-14,-14,-13,-15,-14,-13,-14,-14,-14,-14,-13,-13,-14,-12,-12,-14,-14,-12,-12,-14,-12,-14,-13,-15,-14,-13,-12,-13,-13,-10,-9,-12,-7
72,-15,-10,-12,-13,-21,-11,-13,-9,-13,-13,-10,-13,-13,-12,-10,-16,-13,-13,-13,-17,-14,-15,-10,-11,-14,-16,-15,-12,-9,-15,-11,-13,-10,-19,-14,-12,-13,-12,-13,-13,-13,-11,-14,-12,-12,-13,-13,-11,-13,-12,-13,-13,-12,-14,-13,-12,-13,-13,-13,-13,-13,-13,-13,-12,-12,-13,-13,-12,-12,-13,-12,-13,-12,-14,-12,-12,-10,-12,-12,-10,-9,-12,-6
73,-14,-9,-12,-13,-16,-10,-12,-9,-12,-12,-10,-12,-12,-11,-10,-15,-13,-12,-12,-16,-14,-14,-10,-10,-13,-14,-14,-12,-8,-15,-11,-12,-9,-16,-13,-12,-12,-11,-12,-12,-12,-10,-13,-10,-11,-12,-12,-10,-12,-12,-12,-12,-11,-11,-12,-11,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-11,-11,-12,-12,-10,-11,-11,-9,-9,-12,-6
74,-13,-8,-11,-12,-15,-10,-11,-9,-11,-11,-10,-11,-11,-10,-10,-12,-12,-11,-11,-15,-12,-13,-10,-10,-11,-14,-8,-11,-8,-11,-11,-11,-8,-15,-12,-11,-11,-10,-11,-11,-11,-10,-12,-10,-10,-11,-11,-10,-11,-11,-11,-11,-10,-10,-11,-10,-11,-11,-11,-11,-11,-11,-11,-12,-11,-11,-11,-11,-11,-11,-11,-11,-11,-10,-12,-12,-10,-11,-11,-8,-8,-12,-6
75,-12,-8,-10,-8,-9,-10,-10,-9,-10,-10,-10,-10,-10,-9,-10,-11,-11,-10,-10,-8,-12,-12,-10,-10,-11,-9,-7,-10,-8,-11,-10,-10,-8,-9,-11,-10,-10,-9,-10,-10,-10,-10,-11,-10,-9,-10,-10,-9,-10,-10,-10,-10,-9,-9,-10,-9,-10,-10,-10,-10,-10,-10,-10,-11,-10,-10,-10,-10,-10,-10,-10,-10,-11,-10,-11,-11,-10,-10,-10,-8,-8,-11,-6
76,-11,-8,-9,-8,-8,-9,-9,-8,-9,-9,-9,-9,-9,-8,-9,-7,-10,-9,-9,-7,-10,-11,-9,-9,-10,-8,-6,-9,-8,-8,-9,-9,-8,-8,-10,-9,-9,-9,-9,-9,-9,-9,-10,-9,-8,-9,-9,-8,-9,-9,-9,-9,-8,-8,-9,-8,-9,-9,-9,-9,-9,-9,-9,-10,-9,-9,-9,-9,-9,-9,-9,-9,-10,-9,-10,-10,-10,-9,-9,-8,-8,-10,-6
77,-10,-8,-8,-8,-8,-8,-8,-7,-8,-8,-8,-8,-8,-7,-8,-6,-9,-8,-8,-7,-10,-10,-8,-8,-8,-8,-6,-8,-8,-8,-8,-8,-8,-8,-9,-8,-8,-9,-8,-8,-8,-8,-9,-8,-7,-8,-8,-7,-8,-8,-8,-8,-7,-8,-8,-7,-8,-8,-8,-8,-8,-8,-8,-9,-8,-8,-8,-8,-8,-8,-8,-8,-9,-8,-9,-9,-9,-8,-8,-7,-8,-9,-6
78,-9,-7,-7,-7,-7,-7,-7,-6,-7,-7,-7,-7,-7,-6,-7,-6,-8,-7,-7,-7,-6,-9,-7,-7,-8,-7,-6,-7,-7,-8,-7,-8,-7,-7,-4,-7,-7,-8,-7,-7,-7,-7,-8,-7,-6,-7,-7,-6,-7,-7,-7,-7,-6,-8,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-8,-7,-7,-6,-8,-8,-6
79,-8,-6,-6,-6,-6,-6,-6,-5,-6,-6,-6,-6,-6,-5,-6,-6,-8,-6,-6,-6,-5,-5,-6,-6,-5,-6,-6,-6,-6,-7,-6,-7,-6,-6,-3,-6,-6,-7,-6,-6,-6,-6,-7,-6,-5,-6,-6,-5,-6,-6,-6,-6,-5,-7,-6,-5,-6,-6,-6,-6,-6,-6,-6,-7,-6,-6,-6,-6,-6,-6,-6,-6,-7,-6,-7,-7,-7,-6,-6,-6,-7,-7,-5
80,-6,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-4,-5,-5,-8,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-6,-5,-6,-5,-5,-3,-5,-5,-6,-5,-5,-5,-5,-6,-5,-4,-5,-5,-4,-5,-5,-5,-5,-4,-6,-5,-4,-5,-5,-5,-5,-5,-5,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-6,-5,-6,-6,-6,-5,-5,-5,-6,-6,-4
81,-4,-4,-4,-4,-4,-4,-4,-3,-4,-4,-4,-4,-4,-3,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,-4,-4,-3,-4,-4,-5,-4,-4,-4,-4,-5,-4,-3,-4,-4,-3,-4,-4,-4,-4,-3,-5,-4,-3,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,-5,-5,-4,-4,-4,-5,-5,-4
82,-4,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,-3,-2,-3,-3,-3,-3,-4,-3,-3,-3,-3,-3,-3,-3,-4,-3,-4,-3,-3,-3,-3,-3,-4,-3,-3,-3,-3,-4,-3,-2,-3,-3,-2,-3,-3,-3,-3,-2,-4,-3,-2,-3,-3,-3,-3,-3,-3,-3,-4,-3,-3,-3,-3,-3,-3,-3,-3,-4,-3,-4,-4,-4,-3,-3,-3,-4,-4,-3
83,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-3,-2,-1,-2,-2,-1,-2,-2,-2,-2,-1,-3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3,-3,-3,-2,-2,-2,-3,-3,-2
84,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,0,-1,-1,0,-1,-1,-1,-1,0,-2,-1,0,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2,-2,-1,-1,-1,-2,-2,-1
85,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,1,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,-1,-1,0
86,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,2,1,1,1,1,2,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1
87,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,3,2,2,3,2,2,2,2,3,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2
88,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,2,3,4,3,3,4,3,3,3,3,4,2,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,3,2,2,3
89,3,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,3,4,5,4,4,5,4,4,4,4,5,3,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4
90,3,5,5,5,5,5,5,4,5,5,5,5,5,6,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,4,5,4,5,5,3,5,5,4,5,5,5,5,4,5,6,5,5,6,5,5,5,5,6,4,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,4,4,5
91,4,6,6,6,6,6,6,5,6,6,6,6,6,7,6,6,4,6,6,6,5,3,6,6,5,6,6,6,6,5,6,5,6,6,3,6,6,5,6,6,6,6,5,6,7,6,6,7,6,6,6,6,7,5,6,7,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,5,5,6,6,6,5,5,5
92,5,7,7,7,7,7,7,6,7,7,7,7,7,8,7,7,5,7,7,7,5,3,7,7,6,7,7,7,7,6,7,6,7,7,4,7,7,6,7,7,7,7,6,7,8,7,7,8,7,7,7,7,8,6,7,8,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,6,6,6,7,7,7,6,6,5
93,6,8,8,8,8,8,8,7,8,8,8,8,8,9,8,7,6,8,8,7,7,5,8,8,7,8,7,8,8,7,8,7,8,7,6,8,8,7,8,8,8,8,7,8,9,8,8,9,8,8,8,8,9,7,8,9,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,7,8,7,7,7,8,8,7,7,7,6
94,7,9,9,9,9,9,9,7,9,9,9,9,9,10,9,7,7,9,9,7,7,6,9,9,8,9,7,9,9,8,9,7,9,8,6,9,9,8,9,9,9,9,8,9,10,9,9,10,9,9,9,9,10,8,9,10,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,8,9,8,8,8,9,9,7,8,8,7
